"PVWatts: Hourly PV Performance Data"
"Requested Location:","7393 elyria road medina ohio"
"Location:","AKRON, OH"
"Lat (deg N):","40.92"
"Long (deg W):","81.43"
"Elev (m):","377"
"DC System Size (kW):","4"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","20"
"Array Azimuth (deg):","180"
"System Losses:","14"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.1"
"Average Cost of Electricity Purchased from Utility ($/kWh):","0.07"
"Initial Cost","3.30"
"Cost of Electricity Generated by System ($/kWh):","0.22"

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","-3.3","3.1","0","-3.3","0","0"
"1","1","1","0","0","-2.9","3.4","0","-2.9","0","0"
"1","1","2","0","0","-2.6","3.8","0","-2.6","0","0"
"1","1","3","0","0","-2.2","4.1","0","-2.2","0","0"
"1","1","4","0","0","-2.2","4.5","0","-2.2","0","0"
"1","1","5","0","0","-2.2","4.8","0","-2.2","0","0"
"1","1","6","0","0","-2.2","5.2","0","-2.2","0","0"
"1","1","7","0","0","-2.4","5.2","0","-2.4","0","0"
"1","1","8","11","26","-2.6","5.2","29.821","-3.489","113.993","89.624"
"1","1","9","1","94","-2.8","5.2","97.168","-2.341","377.093","347.442"
"1","1","10","5","121","-2.2","5.5","124.335","-1.145","479.964","448.087"
"1","1","11","0","141","-1.7","5.9","140.726","-0.36","541.799","508.542"
"1","1","12","3","176","-1.1","6.2","181.092","0.919","693.374","656.592"
"1","1","13","5","172","-0.5","6.2","179.173","1.539","684.138","647.577"
"1","1","14","3","160","0","6.2","168.555","1.854","642.723","607.141"
"1","1","15","0","84","0.6","6.2","84.973","0.994","325.287","296.723"
"1","1","16","0","34","0.6","5.5","35.362","-0.015","135.946","111.16"
"1","1","17","0","1","0.6","4.8","0.97","-0.849","3.742","0"
"1","1","18","0","0","0.6","4.1","0","0.6","0","0"
"1","1","19","0","0","0.6","4.1","0","0.6","0","0"
"1","1","20","0","0","0.6","4.1","0","0.6","0","0"
"1","1","21","0","0","0.6","4.1","0","0.6","0","0"
"1","1","22","0","0","0.6","4.3","0","0.6","0","0"
"1","1","23","0","0","0.6","4.4","0","0.6","0","0"
"1","2","0","0","0","0.6","4.6","0","0.6","0","0"
"1","2","1","0","0","1","4.8","0","1","0","0"
"1","2","2","0","0","1.3","5","0","1.3","0","0"
"1","2","3","0","0","1.7","5.2","0","1.7","0","0"
"1","2","4","0","0","3.4","5.5","0","3.4","0","0"
"1","2","5","0","0","5","5.9","0","5","0","0"
"1","2","6","0","0","6.7","6.2","0","6.7","0","0"
"1","2","7","0","2","8.2","6.2","1.94","6.984","7.238","0"
"1","2","8","0","39","9.6","6.2","41.947","9.091","155.088","129.933"
"1","2","9","1","110","11.1","6.2","116.837","11.956","426.448","395.741"
"1","2","10","1","175","8.5","7.6","185.352","10.358","681.43","644.934"
"1","2","11","1","218","5.9","8.9","230.699","8.237","856.093","815.311"
"1","2","12","0","144","3.3","10.3","143.159","4.332","540.306","507.082"
"1","2","13","1","212","2.2","10.3","223.417","4.176","843.738","803.268"
"1","2","14","0","179","1.1","10.3","189.669","2.7","720.844","683.404"
"1","2","15","0","120","0","10.3","129.152","0.819","494.779","462.575"
"1","2","16","1","38","-0.2","9.3","40.83","-0.542","157.106","131.913"
"1","2","17","0","2","-0.4","8.2","1.94","-1.408","7.501","0"
"1","2","18","0","0","-0.6","7.2","0","-0.6","0","0"
"1","2","19","0","0","-0.8","7.4","0","-0.8","0","0"
"1","2","20","0","0","-0.9","7.5","0","-0.9","0","0"
"1","2","21","0","0","-1.1","7.7","0","-1.1","0","0"
