"PVWatts: Hourly PV Performance Data"
"Requested Location:","7393 elyria road medina ohio"
"Location:","CLEVELAND, OH"
"Lat (deg N):","41.4"
"Long (deg W):","81.85"
"Elev (m):","245"
"DC System Size (kW):","4"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","20"
"Array Azimuth (deg):","180"
"System Losses:","14"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.1"
"Average Cost of Electricity Purchased from Utility ($/kWh):","0.07"
"Initial Cost","3.30"
"Cost of Electricity Generated by System ($/kWh):","0.22"

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","-3.9","5.7","0","-3.9","0","0"
"1","1","1","0","0","-4.4","6.2","0","-4.4","0","0"
"1","1","2","0","0","-4.4","4.6","0","-4.4","0","0"
"1","1","3","0","0","-5","5.7","0","-5","0","0"
"1","1","4","0","0","-5","6.2","0","-5","0","0"
"1","1","5","0","0","-5.6","4.6","0","-5.6","0","0"
"1","1","6","0","0","-6.7","4.1","0","-6.7","0","0"
"1","1","7","1","0","-7.8","4.6","0.189","-9.39","0.502","0"
"1","1","8","46","37","-7.2","6.2","60.979","-7.451","231.654","204.996"
"1","1","9","248","92","-6.1","5.2","228.003","-3.072","857.223","816.413"
"1","1","10","405","148","-5.6","6.2","421.198","0.675","1588.663","1527.076"
"1","1","11","32","160","-5","7.7","193.308","-2.814","750.673","712.509"
"1","1","12","5","206","-3.9","6.2","218.083","-1.182","842.365","801.93"
"1","1","13","9","154","-3.9","6.2","161.839","-2.124","627.359","592.136"
"1","1","14","9","143","-3.3","5.2","152.464","-1.563","589.386","555.043"
"1","1","15","4","75","-3.3","5.2","76.647","-3.042","297.932","269.933"
"1","1","16","1","32","-2.8","5.2","33.113","-3.503","128.954","104.302"
"1","1","17","0","0","-2.8","3.6","0","-2.8","0","0"
"1","1","18","0","0","-2.8","4.1","0","-2.8","0","0"
"1","1","19","0","0","-2.8","3.1","0","-2.8","0","0"
"1","1","20","0","0","-2.8","4.6","0","-2.8","0","0"
"1","1","21","0","0","-2.2","4.1","0","-2.2","0","0"
"1","1","22","0","0","-1.7","4.1","0","-1.7","0","0"
"1","1","23","0","0","-1.7","5.2","0","-1.7","0","0"
"1","2","0","0","0","-1.1","3.6","0","-1.1","0","0"
"1","2","1","0","0","-1.1","3.6","0","-1.1","0","0"
"1","2","2","0","0","-0.6","3.6","0","-0.6","0","0"
"1","2","3","0","0","-0.6","4.1","0","-0.6","0","0"
"1","2","4","0","0","0","5.2","0","0","0","0"
"1","2","5","0","0","0","5.2","0","0","0","0"
"1","2","6","0","0","0","5.2","0","0","0","0"
"1","2","7","0","1","0.6","5.7","0.97","-0.751","3.74","0"
"1","2","8","1","34","1.1","5.2","36.554","0.356","140.096","115.23"
"1","2","9","1","130","1.7","4.6","144.749","3.205","548.824","515.407"
"1","2","10","1","196","2.8","4.1","213.251","6.154","798.498","759.158"
"1","2","11","2","223","3.3","5.2","238.75","6.807","891.456","849.774"
"1","2","12","0","240","3.9","5.2","255.519","7.773","950.154","906.956"
"1","2","13","1","245","3.9","6.2","265.324","7.548","987.545","943.367"
"1","2","14","1","185","3.9","4.1","198.555","7.194","740.131","702.224"
"1","2","15","1","121","3.9","5.2","131.508","5.319","494.118","461.929"
"1","2","16","0","39","3.3","3.1","42.142","2.81","160.087","134.836"
"1","2","17","0","2","2.8","4.1","1.94","1.255","7.417","0"
"1","2","18","0","0","2.8","3.1","0","2.8","0","0"
"1","2","19","0","0","3.3","3.1","0","3.3","0","0"
"1","2","20","0","0","3.9","4.6","0","3.9","0","0"
"1","2","21","0","0","3.9","4.6","0","3.9","0","0"
"1","2","22","0","0","3.3","3.1","0","3.3","0","0"
"1","2","23","0","0","4.4","3.6","0","4.4","0","0"
"1","3","0","0","0","3.9","4.1","0","3.9","0","0"
"1","3","1","0","0","2.8","2.6","0","2.8","0","0"
"1","3","2","0","0","2.8","2.6","0","2.8","0","0"
"1","3","3","0","0","3.9","4.6","0","3.9","0","0"
"1","3","4","0","0","4.4","5.2","0","4.4","0","0"
"1","3","5","0","0","3.9","7.7","0","3.9","0","0"
"1","3","6","0","0","2.2","5.7","0","2.2","0","0"
"1","3","7","0","1","1.7","7.7","0.97","0.603","3.719","0"
"1","3","8","0","20","1.7","7.2","18.961","0.835","72.634","49.042"
"1","3","9","1","68","1.7","6.2","67.484","1.605","257.548","230.371"
"1","3","10","0","108","1.1","6.2","107.17","1.753","408.946","378.616"
"1","3","11","1","214","1.1","6.7","226.813","3.744","858.148","817.314"
"1","3","12","1","138","1.1","8.2","137.582","2.227","523.91","491.056"
"1","3","13","1","217","0.6","7.7","230.144","3.094","873.172","831.957"
"1","3","14","1","172","0.6","8.2","182.079","2.374","692.898","656.128"
"1","3","15","0","112","0","7.2","119.038","0.896","455.882","424.534"
"1","3","16","0","37","-0.6","6.2","38.976","-1.071","150.507","125.441"
"1","3","17","0","2","-0.6","6.2","1.94","-1.815","7.513","0"
"1","3","18","0","0","-1.1","5.7","0","-1.1","0","0"
"1","3","19","0","0","-1.1","5.2","0","-1.1","0","0"
"1","3","20","0","0","-1.7","5.2","0","-1.7","0","0"
"1","3","21","0","0","-2.2","3.6","0","-2.2","0","0"
"1","3","22","0","0","-2.2","3.1","0","-2.2","0","0"
"1","3","23","0","0","-2.8","0","0","-2.8","0","0"
"1","4","0","0","0","-2.8","2.1","0","-2.8","0","0"
"1","4","1","0","0","-2.8","0","0","-2.8","0","0"
"1","4","2","0","0","-2.8","0","0","-2.8","0","0"
"1","4","3","0","0","-2.8","1.5","0","-2.8","0","0"
"1","4","4","0","0","-2.8","2.6","0","-2.8","0","0"
"1","4","5","0","0","-2.2","3.6","0","-2.2","0","0"
"1","4","6","0","0","-2.2","2.1","0","-2.2","0","0"
"1","4","7","0","1","-1.7","2.6","0.97","-3.765","3.787","0"
"1","4","8","0","38","-1.7","3.6","42.04","-2.543","163.337","138.023"
"1","4","9","0","97","-0.6","4.1","101.125","0.036","388.685","358.788"
"1","4","10","0","166","0","5.7","174.63","1.962","665.773","629.648"
"1","4","11","1","207","0.6","6.7","218.126","3.176","827.283","787.226"
"1","4","12","1","210","1.1","6.7","219.473","3.75","830.363","790.229"
"1","4","13","1","229","1.1","4.1","244.637","5.301","919.434","877.034"
"1","4","14","1","186","1.1","6.7","199.147","3.444","754.413","716.157"
"1","4","15","47","103","1.7","6.7","135.903","2.95","510.578","478.022"
"1","4","16","11","54","0.6","4.6","67.176","0.676","255.241","228.11"
"1","4","17","0","0","0.6","3.6","0","0.6","0","0"
"1","4","18","0","0","0","3.1","0","0","0","0"
"1","4","19","0","0","0.6","4.6","0","0.6","0","0"
"1","4","20","0","0","1.1","6.2","0","1.1","0","0"
"1","4","21","0","0","1.1","5.2","0","1.1","0","0"
"1","4","22","0","0","0.6","5.2","0","0.6","0","0"
"1","4","23","0","0","1.1","6.2","0","1.1","0","0"
"1","5","0","0","0","1.1","5.2","0","1.1","0","0"
"1","5","1","0","0","0.6","7.2","0","0.6","0","0"
"1","5","2","0","0","0","6.2","0","0","0","0"
"1","5","3","0","0","0","7.7","0","0","0","0"
"1","5","4","0","0","-0.6","9.3","0","-0.6","0","0"
"1","5","5","0","0","-3.3","9.3","0","-3.3","0","0"
"1","5","6","0","0","-4.4","9.3","0","-4.4","0","0"
"1","5","7","0","0","-4.4","8.2","0","-4.4","0","0"
"1","5","8","1","30","-4.4","8.2","30.972","-5.028","121.36","96.852"
"1","5","9","2","62","-4.4","8.8","61.25","-4.554","239.717","212.898"
"1","5","10","1","120","-3.9","7.2","121.059","-3.107","471.393","439.706"
"1","5","11","319","156","-2.8","7.2","405.701","2.546","1531.1","1471.313"
"1","5","12","6","191","-2.8","8.2","200.605","-0.617","772.988","734.277"
"1","5","13","6","141","-3.3","8.8","144.892","-2.164","561.845","528.132"
"1","5","14","38","110","-3.3","9.3","137.768","-2.344","532.521","499.473"
"1","5","15","242","99","-4.4","8.8","236.558","-2.048","889.2","847.577"
"1","5","16","15","33","-4.4","8.8","39.831","-4.69","152.998","127.884"
"1","5","17","0","0","-5","9.8","0","-5","0","0"
"1","5","18","0","0","-5","10.8","0","-5","0","0"
"1","5","19","0","0","-5","9.8","0","-5","0","0"
"1","5","20","0","0","-3.9","9.8","0","-3.9","0","0"
"1","5","21","0","0","-3.9","11.3","0","-3.9","0","0"
"1","5","22","0","0","-3.9","10.8","0","-3.9","0","0"
"1","5","23","0","0","-3.3","10.8","0","-3.3","0","0"
"1","6","0","0","0","-3.3","10.8","0","-3.3","0","0"
