"PVWatts: Hourly PV Performance Data"
"Requested Location:","7393 elyria road medina ohio"
"Location:","MANSFIELD LAHM MUNICIPAL ARPT, OH"
"Lat (deg N):","40.82"
"Long (deg W):","82.52"
"Elev (m):","395"
"DC System Size (kW):","4"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","20"
"Array Azimuth (deg):","180"
"System Losses:","14"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.1"
"Average Cost of Electricity Purchased from Utility ($/kWh):","0.07"
"Initial Cost","3.30"
"Cost of Electricity Generated by System ($/kWh):","0.22"

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","11.7","6","0","11.7","0","0"
"1","1","1","0","0","12.8","6.6","0","12.8","0","0"
"1","1","2","0","0","13.9","7.2","0","13.9","0","0"
"1","1","3","0","0","13.9","7.9","0","13.9","0","0"
"1","1","4","0","0","13.9","8.5","0","13.9","0","0"
"1","1","5","0","0","15.6","9.2","0","15.6","0","0"
"1","1","6","0","0","16.1","9.8","0","16.1","0","0"
"1","1","7","0","1","15.6","11.3","0.97","14.827","3.496","0"
"1","1","8","0","20","14.4","11.3","18.961","13.832","68.651","45.134"
"1","1","9","0","58","14.4","11.8","55.978","14.285","202.264","176.189"
"1","1","10","1","102","16.1","11.8","101.055","16.537","361.396","332.077"
"1","1","11","1","113","15.6","9.3","111.13","16.275","397.928","367.834"
"1","1","12","0","225","16.7","11.3","236.104","18.79","835.902","795.628"
"1","1","13","2","197","14.4","11.8","205.881","16.127","737.703","699.854"
"1","1","14","0","172","8.3","12.9","180.43","9.587","665.641","629.519"
"1","1","15","0","106","6.1","9.3","110.476","6.752","412.632","382.223"
"1","1","16","1","37","4.4","9.8","38.28","4.037","144.46","119.51"
"1","1","17","0","3","3.3","8.2","2.91","2.315","11.076","0"
"1","1","18","0","0","2.8","7.8","0","2.8","0","0"
"1","1","19","0","0","2.2","7.5","0","2.2","0","0"
"1","1","20","0","0","1.1","7.1","0","1.1","0","0"
"1","1","21","0","0","1.1","6.8","0","1.1","0","0"
"1","1","22","0","0","0.6","6.4","0","0.6","0","0"
"1","1","23","0","0","0","6.1","0","0","0","0"
"1","2","0","0","0","0","5.7","0","0","0","0"
"1","2","1","0","0","-0.6","5.4","0","-0.6","0","0"
"1","2","2","0","0","-0.6","5","0","-0.6","0","0"
"1","2","3","0","0","-1.1","4.7","0","-1.1","0","0"
"1","2","4","0","0","-1.7","4.3","0","-1.7","0","0"
"1","2","5","0","0","-0.6","4","0","-0.6","0","0"
"1","2","6","0","0","0","3.6","0","0","0","0"
"1","2","7","0","1","-1.7","4.1","0.97","-3.377","3.781","0"
"1","2","8","0","21","-0.6","3.6","19.913","-1.966","77.184","53.508"
"1","2","9","1","63","0","3.1","61.872","-0.337","238.062","211.276"
"1","2","10","1","152","0","3.6","157.962","2.079","601.865","567.234"
"1","2","11","1","210","0.6","3.6","221.116","4.41","834.21","793.979"
"1","2","12","1","229","0","4.1","241.47","4.131","912.103","869.892"
"1","2","13","1","192","0","5.7","199.124","2.608","757.042","718.722"
"1","2","14","1","159","0","5.2","165.219","2.052","629.595","594.321"
"1","2","15","1","106","0","4.1","110.719","1.119","423.513","392.87"
"1","2","16","1","37","0","4.1","38.045","-0.612","146.425","121.438"
"1","2","17","0","4","-0.6","4.1","3.879","-2.131","15.047","0"
"1","2","18","0","0","-1.1","4.1","0","-1.1","0","0"
"1","2","19","0","0","-1.7","4.1","0","-1.7","0","0"
"1","2","20","0","0","-2.2","4.1","0","-2.2","0","0"
"1","2","21","0","0","-2.2","4.1","0","-2.2","0","0"
"1","2","22","0","0","-1.7","4.1","0","-1.7","0","0"
"1","2","23","0","0","-2.2","4.1","0","-2.2","0","0"
"1","3","0","0","0","-2.2","4.1","0","-2.2","0","0"
"1","3","1","0","0","-2.8","4.1","0","-2.8","0","0"
"1","3","2","0","0","-3.3","4.1","0","-3.3","0","0"
"1","3","3","0","0","-3.9","4.1","0","-3.9","0","0"
"1","3","4","0","0","-3.9","4.1","0","-3.9","0","0"
"1","3","5","0","0","-3.9","4.1","0","-3.9","0","0"
"1","3","6","0","0","-3.9","4.1","0","-3.9","0","0"
"1","3","7","0","1","-3.3","3.6","0.97","-5.123","3.809","0"
"1","3","8","0","28","-2.8","3.6","28.165","-3.979","110.086","85.791"
"1","3","9","73","114","-2.2","5.2","163.317","-0.465","620.078","585.026"
"1","3","10","229","153","-1.1","6.2","321.264","3.377","1203.118","1153.05"
"1","3","11","442","170","-1.1","5.2","517.516","7.923","1907.463","1835.393"
"1","3","12","386","163","0","5.2","484.911","8.711","1785.101","1717.158"
"1","3","13","466","157","0","6.2","524.093","8.4","1928.075","1855.298"
"1","3","14","244","139","1.1","6.2","317.131","5.971","1174.823","1125.552"
"1","3","15","199","97","0.6","6.7","214.716","3.282","792.334","753.147"
"1","3","16","49","37","-1.1","5.7","59.406","-1.085","219.542","193.126"
"1","3","17","0","0","-1.7","3.6","0","-1.7","0","0"
"1","3","18","0","0","-2.8","3.6","0","-2.8","0","0"
"1","3","19","0","0","-2.8","3.5","0","-2.8","0","0"
"1","3","20","0","0","-2.8","3.5","0","-2.8","0","0"
"1","3","21","0","0","-2.8","3.4","0","-2.8","0","0"
"1","3","22","0","0","-3.9","3.4","0","-3.9","0","0"
"1","3","23","0","0","-2.8","3.4","0","-2.8","0","0"
"1","4","0","0","0","-2.8","3.3","0","-2.8","0","0"
"1","4","1","0","0","-2.8","3.3","0","-2.8","0","0"
"1","4","2","0","0","-2.8","3.3","0","-2.8","0","0"
"1","4","3","0","0","-2.8","3.2","0","-2.8","0","0"
"1","4","4","0","0","-2.8","3.2","0","-2.8","0","0"
"1","4","5","0","0","-1.1","3.1","0","-1.1","0","0"
"1","4","6","0","0","-1.1","3.1","0","-1.1","0","0"
"1","4","7","0","0","-1.1","5.2","0","-1.1","0","0"
"1","4","8","11","21","-1.1","4.1","23.89","-2.272","90.321","66.4"
"1","4","9","4","63","0","3.6","63.22","-0.269","242.814","215.933"
"1","4","10","1","128","0","3.6","129.878","1.417","496.241","464.004"
"1","4","11","1","142","0.6","4.1","142.4","2.346","541.978","508.716"
"1","4","12","7","171","1.7","3.6","177.949","4.454","671.061","634.811"
"1","4","13","2","159","2.2","3.6","161.682","4.66","609.289","574.487"
"1","4","14","2","146","2.2","6.2","150.24","3.724","568.394","534.533"
"1","4","15","154","91","1.1","6.2","185.501","3.216","686.834","650.209"
"1","4","16","80","39","1.1","5.2","71.75","1.331","258.425","231.23"
"1","4","17","6","2","-1.1","6.2","3.139","-2.254","10.714","0"
"1","4","18","0","0","-2.8","6.3","0","-2.8","0","0"
"1","4","19","0","0","-4.4","6.4","0","-4.4","0","0"
"1","4","20","0","0","-1.1","6.4","0","-1.1","0","0"
"1","4","21","0","0","-1.1","6.5","0","-1.1","0","0"
"1","4","22","0","0","-1.1","6.6","0","-1.1","0","0"
"1","4","23","0","0","-1.7","6.7","0","-1.7","0","0"
"1","5","0","0","0","-1.7","6.7","0","-1.7","0","0"
"1","5","1","0","0","-1.7","6.8","0","-1.7","0","0"
"1","5","2","0","0","-1.1","6.9","0","-1.1","0","0"
"1","5","3","0","0","-1.1","7","0","-1.1","0","0"
"1","5","4","0","0","-1.1","7","0","-1.1","0","0"
"1","5","5","0","0","-0.6","7.1","0","-0.6","0","0"
"1","5","6","0","0","0.6","7.2","0","0.6","0","0"
"1","5","7","0","1","0.6","6.2","0.97","-0.673","3.739","0"
"1","5","8","0","35","0.6","5.2","37.656","-0.125","144.834","119.877"
"1","5","9","8","87","1.1","6.7","92.411","1.444","352.114","322.991"
"1","5","10","0","123","1.7","7.2","123.545","2.581","469.776","438.125"
"1","5","11","131","185","1.7","5.7","301.226","6.011","1124.065","1076.203"
"1","5","12","200","169","2.2","7.2","335.473","6.648","1248.079","1196.733"
"1","5","13","9","164","2.2","6.7","172.125","4.207","649.68","613.935"
"1","5","14","138","154","0.6","6.2","261.172","4.053","979.263","935.303"
"1","5","15","97","111","1.7","5.7","176.012","3.921","655.13","619.257"
"1","5","16","261","31","1.1","6.5","131.903","2.28","451.008","419.767"
"1","5","17","11","3","-0.6","7.3","5.116","-1.547","17.113","0"
"1","5","18","0","0","-1.1","8","0","-1.1","0","0"
"1","5","19","0","0","-2.2","7.6","0","-2.2","0","0"
"1","5","20","0","0","-1.1","7.1","0","-1.1","0","0"
"1","5","21","0","0","0","6.6","0","0","0","0"
"1","5","22","0","0","0","6","0","0","0","0"
"1","5","23","0","0","-1.1","5.4","0","-1.1","0","0"
"1","6","0","0","0","-1.1","4.8","0","-1.1","0","0"
"1","6","1","0","0","-1.1","4.5","0","-1.1","0","0"
"1","6","2","0","0","-1.1","4.2","0","-1.1","0","0"
"1","6","3","0","0","-1.1","3.9","0","-1.1","0","0"
"1","6","4","0","0","-1.1","4.4","0","-1.1","0","0"
"1","6","5","0","0","-0.6","4.7","0","-0.6","0","0"
"1","6","6","0","0","0","5.2","0","0","0","0"
"1","6","7","0","0","0.6","6.7","0","0.6","0","0"
"1","6","8","20","31","0.6","6.7","39.891","0.031","149.01","123.973"
"1","6","9","11","79","1.1","7.2","84.372","1.306","321.217","292.738"
"1","6","10","10","106","1.1","6.7","110.666","1.799","421.577","390.975"
"1","6","11","7","167","1.7","6.7","174.393","3.485","660.327","624.331"
"1","6","12","4","173","2.2","6.7","177.801","4.116","671.56","635.298"
"1","6","13","95","204","2.2","7.2","290.684","5.812","1087.054","1040.206"
"1","6","14","43","169","1.1","8.4","212.144","3.327","801.759","762.338"
"1","6","15","115","135","1.1","9.5","216.393","3.14","808.701","769.107"
"1","6","16","10","32","0.6","8.7","35.884","0.248","135.837","111.052"
"1","6","17","2","1","0.6","7.7","1.372","-0.462","4.801","0"
"1","6","18","0","0","0.6","6.9","0","0.6","0","0"
"1","6","19","0","0","0.6","5.9","0","0.6","0","0"
"1","6","20","0","0","0.6","5.1","0","0.6","0","0"
"1","6","21","0","0","0.6","4.1","0","0.6","0","0"
"1","6","22","0","0","1.1","5","0","1.1","0","0"
"1","6","23","0","0","0","5.7","0","0","0","0"
"1","7","0","0","0","0","6.6","0","0","0","0"
"1","7","1","0","0","0","6.3","0","0","0","0"
"1","7","2","0","0","0","6.1","0","0","0","0"
"1","7","3","0","0","0","5.8","0","0","0","0"
"1","7","4","0","0","0","5.6","0","0","0","0"
"1","7","5","0","0","0.6","5.4","0","0.6","0","0"
"1","7","6","0","0","0.6","5.2","0","0.6","0","0"
"1","7","7","0","0","0.6","6.2","0","0.6","0","0"
"1","7","8","1","22","0.6","6.7","21.144","-0.279","81.162","57.411"
"1","7","9","5","72","1.1","6.2","73.575","1.111","280.903","253.252"
"1","7","10","6","189","0.6","5.2","205.428","3.229","778.607","739.759"
"1","7","11","7","168","1.1","8.2","175.42","2.758","666.278","630.141"
"1","7","12","2","185","0.6","8.2","189.784","2.438","722.031","684.561"
"1","7","13","2","206","1.1","9.3","215.305","3.139","816.682","776.89"
"1","7","14","0","94","1.1","8.8","91.216","1.517","348.416","319.37"
"1","7","15","2","103","1.1","10.3","106.42","1.576","406.177","375.906"
"1","7","16","0","51","1.1","10.3","54.629","0.939","209.176","182.965"
"1","7","17","0","5","1.1","6.7","4.849","0.016","18.64","0"
